Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"Fang, Fang language",https://en-word.net/id/oewn-07005589-n,https://www.wikidata.org/entity/Q33484,a Bantu language spoken in Cameroon,"Bantu language of Equatorial Guinea, northwest Gabon and neighbouring areas",Multiple,TRUE,
"Gikuyu, Gikuyu language",https://en-word.net/id/oewn-07005675-n,https://www.wikidata.org/entity/Q33587,a Bantu language spoken in western Kenya,Bantu language in Kenya,Exact,TRUE,
"Giriama, Giriama language",https://en-word.net/id/oewn-07005768-n,,a Bantu language spoken in the coastal regions of eastern Kenya,,None,FALSE,https://www.wikidata.org/wiki/Q3107606
"Herero, Herero language",https://en-word.net/id/oewn-07005885-n,https://www.wikidata.org/entity/Q33315,"a Bantu language spoken by the Herero in Namibia, Botswana, and Angola",Bantu language of Nambia and Botswana,Exact,TRUE,
"Kamba, Kamba language",https://en-word.net/id/oewn-07006008-n,https://www.wikidata.org/entity/Q2574767,a Bantu language spoken by the Kamba in Kenya,Bantu language spoken in Kenya,Multiple,TRUE,
"Kamba, Kamba language",https://en-word.net/id/oewn-07006008-n,https://www.wikidata.org/entity/Q11042324,a Bantu language spoken by the Kamba in Kenya,,Multiple,FALSE,
"Kamba, Kamba language",https://en-word.net/id/oewn-07006008-n,https://www.wikidata.org/entity/Q7959569,a Bantu language spoken by the Kamba in Kenya,language,Multiple,FALSE,
"Kichaga, Chaga, Chagga, Chaga language, Chagga language, Kichaga language",https://en-word.net/id/oewn-07006105-n,,a Bantu language spoken by the Chaga in northern Tanzania,,None,FALSE,https://www.wikidata.org/wiki/Q33016
"Kinyarwanda, Kinyarwanda language",https://en-word.net/id/oewn-07006233-n,https://www.wikidata.org/entity/Q33573,"a Bantu language, it is the official language of Rwanda and a dialect of the Rwanda-Rundi language spoken by 12 million people in Burundi and adjacent parts of southern Uganda","Bantu language spoken in Central Africa, official in Rwanda",Exact,TRUE,
"Kiswahili, Kiswahili language",https://en-word.net/id/oewn-07006307-n,https://www.wikidata.org/entity/Q7838,"a Bantu language, spoken in Tanzania, Kenya, Uganda, Rwanda, Burundi, Mozambique and the Democratic Republic of Congo",Bantu language spoken mainly in East Africa,Multiple,TRUE,
"Kiswahili, Kiswahili language",https://en-word.net/id/oewn-07006307-n,https://www.wikidata.org/entity/Q3197533,"a Bantu language, spoken in Tanzania, Kenya, Uganda, Rwanda, Burundi, Mozambique and the Democratic Republic of Congo","language with code ""swh"", official variety of swahili",Multiple,FALSE,
"Kongo, Kongo language",https://en-word.net/id/oewn-07006379-n,https://www.wikidata.org/entity/Q33702,the Bantu language spoken by the Kongo living in the tropical forests of Zaire and Congo and Angola,"Bantu language spoken in Angola, Congo Brazzaville and Congo Kinshasa",Multiple,TRUE,
"Kongo, Kongo language",https://en-word.net/id/oewn-07006379-n,https://www.wikidata.org/entity/Q6429214,the Bantu language spoken by the Kongo living in the tropical forests of Zaire and Congo and Angola,Bantu language family,Multiple,FALSE,
"Luba, Tshiluba, Tshiluba language, Luba language",https://en-word.net/id/oewn-07006530-n,https://www.wikidata.org/entity/Q34173,a Bantu language spoken in southeastern Congo,Bantu language spoken in DR Congo,Exact,TRUE,
"LuGanda, LuGanda language",https://en-word.net/id/oewn-07006637-n,https://www.wikidata.org/entity/Q33368,the Bantu language of the Buganda people; spoken in Uganda,Bantu language of Uganda,Exact,TRUE,
"Luyia, Luyia language",https://en-word.net/id/oewn-07006749-n,https://www.wikidata.org/entity/Q35893,"a Bantu language, spoken in western Kenya",language,Exact,TRUE,
"Mashi, Mashi language",https://en-word.net/id/oewn-07006817-n,https://www.wikidata.org/entity/Q11028619,"a Bantu language, spoken in Zambia and Angola",language spoken in Nigeria,Multiple,FALSE,
"Mashi, Mashi language",https://en-word.net/id/oewn-07006817-n,https://www.wikidata.org/entity/Q10962737,"a Bantu language, spoken in Zambia and Angola",Bantu language spoken in Zambia and Angola,Multiple,TRUE,
"Mwera, Mwera language",https://en-word.net/id/oewn-07006885-n,https://www.wikidata.org/entity/Q6944725,a Bantu language spoken in southern coastal Tanzania,language,Exact,TRUE,
Nguni,https://en-word.net/id/oewn-07006989-n,https://www.wikidata.org/entity/Q961559,a group of southern Bantu languages,Bantu languages spoken by the Nguni people,Exact,TRUE,
"Ndebele, Matabele",https://en-word.net/id/oewn-07007148-n,https://www.wikidata.org/entity/Q13155057,a Bantu language sometimes considered a dialect of Zulu,language,Multiple,FALSE,
"Ndebele, Matabele",https://en-word.net/id/oewn-07007148-n,https://www.wikidata.org/entity/Q35613,a Bantu language sometimes considered a dialect of Zulu,"language belonging to the Nguni group of Bantu languages, one of the official languages of Zimbabwe",Multiple,TRUE,
"Swazi, Swazi language",https://en-word.net/id/oewn-07007268-n,https://www.wikidata.org/entity/Q34014,"a Bantu language closely related to Zulu, with about three million speakers",language of the Swazi people,Exact,TRUE,
"Xhosa, Xhosa language",https://en-word.net/id/oewn-07007360-n,https://www.wikidata.org/entity/Q13218,"a Bantu language closely related to Zulu, it is the second most common home language in South Africa",Nguni language of southern South Africa,Exact,TRUE,
"Zulu, Zulu language",https://en-word.net/id/oewn-07007452-n,https://www.wikidata.org/entity/Q10179,a Bantu language of considerable literary importance in southeastern Africa,Nguni language of eastern South Africa and neighbouring countries,Exact,TRUE,
"Nyamwezi, Nyamwezi language",https://en-word.net/id/oewn-07007578-n,https://www.wikidata.org/entity/Q4121131,a Bantu language spoken in central Tanzania,language,Exact,TRUE,
"Pokomo, Pokomo language",https://en-word.net/id/oewn-07007676-n,https://www.wikidata.org/entity/Q7208693,a Bantu language spoken in the Kenyan coastal areas of East Africa,language,Exact,TRUE,
"Shona, Shona language",https://en-word.net/id/oewn-07007795-n,https://www.wikidata.org/entity/Q34004,a Bantu language spoken in Zimbabwe,Bantu language of Zimbabwe and Mozambique,Exact,TRUE,
"Sotho, Sotho language",https://en-word.net/id/oewn-07007882-n,https://www.wikidata.org/entity/Q34340,any of the mutually intelligible southern Bantu languages of the Sotho in Botswana and South Africa and Lesotho,Southern Bantu language,Exact,TRUE,
"Sesotho, Basuto",https://en-word.net/id/oewn-07008186-n,https://www.wikidata.org/entity/Q34340,the dialect of Sotho spoken by the Basotho; an official language of Lesotho,Southern Bantu language,Exact,TRUE,
"Tswana, Setswana, Sechuana",https://en-word.net/id/oewn-07008324-n,https://www.wikidata.org/entity/Q34137,the dialect of Sotho spoken by the Tswana in Botswana,Bantu language of Botswana and South Africa,Exact,TRUE,
"Umbundu, Umbundu language",https://en-word.net/id/oewn-07008099-n,https://www.wikidata.org/entity/Q36983,a Bantu language spoken in Angola,language,Exact,TRUE,
"Swahili, Swahili language",https://en-word.net/id/oewn-07008452-n,https://www.wikidata.org/entity/Q7838,the most widely spoken Bantu languages; the official language of Kenya and Tanzania and widely used as a lingua franca in east and central Africa,Bantu language spoken mainly in East Africa,Multiple,TRUE,
"Swahili, Swahili language",https://en-word.net/id/oewn-07008452-n,https://www.wikidata.org/entity/Q3197533,the most widely spoken Bantu languages; the official language of Kenya and Tanzania and widely used as a lingua franca in east and central Africa,"language with code ""swh"", official variety of swahili",Multiple,FALSE,
"Tonga, Tonga language",https://en-word.net/id/oewn-07008689-n,https://www.wikidata.org/entity/Q7820988,the language of the Tongan people of south central Africa (Zambia and Rhodesia),Bantu language spoken along the southern coast of Mozambique,Multiple,FALSE,
"Tonga, Tonga language",https://en-word.net/id/oewn-07008689-n,https://www.wikidata.org/entity/Q3847648,the language of the Tongan people of south central Africa (Zambia and Rhodesia),language of Malawi,Multiple,FALSE,
"Tonga, Tonga language",https://en-word.net/id/oewn-07008689-n,https://www.wikidata.org/entity/Q34101,the language of the Tongan people of south central Africa (Zambia and Rhodesia),Bantu language of Zambia and Zimbabwe,Multiple,TRUE,
"Gur, Voltaic",https://en-word.net/id/oewn-07008820-n,https://www.wikidata.org/entity/Q33536,a group of Niger-Congo languages spoken primarily in southeastern Mali and northern Ghana,language family,Exact,TRUE,
West African,https://en-word.net/id/oewn-07008969-n,,a group of languages spoken in the extreme western part of West Africa,,None,FALSE,https://www.wikidata.org/wiki/Q771124
"Fula, Ful, Fulani, Peul",https://en-word.net/id/oewn-07009170-n,https://www.wikidata.org/entity/Q33454,a family of languages of the Fulani of West Africa and used as a lingua franca in the sub-Saharan regions from Senegal to Chad; the best known of the West African languages,language of West Africa of the Senegambian branch of the Niger–Congo language family,Exact,TRUE,
"Serer, Serer language",https://en-word.net/id/oewn-07009415-n,https://www.wikidata.org/entity/Q36284,a West African language closely related to Fula; spoken primarily in Senegal and Gambia,language spoken in Senegal and Gambia,Exact,TRUE,
"Wolof, Wolof language",https://en-word.net/id/oewn-07009554-n,https://www.wikidata.org/entity/Q34257,the West African language of the Wolof in Senegal; related to Fula,"language of Senegal, the Gambia, and Mauritania",Exact,TRUE,
Mande,https://en-word.net/id/oewn-07009672-n,https://www.wikidata.org/entity/Q13479983,a group of African languages in the Niger-Congo group spoken from Senegal east as far as the Ivory Coast,language,Multiple,FALSE,
Mande,https://en-word.net/id/oewn-07009672-n,https://www.wikidata.org/entity/Q33681,a group of African languages in the Niger-Congo group spoken from Senegal east as far as the Ivory Coast,language family of West Africa,Multiple,TRUE,
Kwa,https://en-word.net/id/oewn-07009828-n,https://www.wikidata.org/entity/Q34842,a group of African language in the Niger-Congo group spoken from the Ivory Coast east to Nigeria,Niger–Congo language spoke in Nigeria,Multiple,TRUE,
Kwa,https://en-word.net/id/oewn-07009828-n,https://www.wikidata.org/entity/Q33430,a group of African language in the Niger-Congo group spoken from the Ivory Coast east to Nigeria,"proposed language family in Ivory Coast, Ghana, and Togo",Multiple,FALSE,
"Yoruba, Aku, Aku language, Yoruba language",https://en-word.net/id/oewn-07010028-n,https://www.wikidata.org/entity/Q34311,a Kwa language spoken by the Yoruba in southwestern Nigeria,Niger-Congo language spoken in West Africa,Exact,TRUE,
"Akan, Akan language",https://en-word.net/id/oewn-07010146-n,https://www.wikidata.org/entity/Q28026,a Kwa language spoken in Ghana and the Ivory Coast,language of Akan lands in Ghana,Exact,TRUE,
"Ewe, Ewe language",https://en-word.net/id/oewn-07010247-n,https://www.wikidata.org/entity/Q30005,a Kwa language spoken by the Ewe in Ghana and Togo and Benin,Niger–Congo language spoken in southeastern Ghana and southern Togo,Exact,TRUE,
"Nilo-Saharan, Nilo-Saharan language",https://en-word.net/id/oewn-07010357-n,https://www.wikidata.org/entity/Q33705,a family of East African languages spoken by Nilotic peoples from the Sahara south to Kenya and Tanzania,language family,Exact,TRUE,
Chari-Nile,https://en-word.net/id/oewn-07010598-n,https://www.wikidata.org/entity/Q1010922,a group of Nilo-Saharan language spoken in parts of the Sudan and Zaire and Uganda and Tanzania,,Exact,TRUE,
"Nilotic, Nilotic language",https://en-word.net/id/oewn-07010768-n,https://www.wikidata.org/entity/Q513408,a group of languages of East Africa belonging to the Chari-Nile group,small language family of East Africa,Exact,TRUE,
"Dinka, Dinka language",https://en-word.net/id/oewn-07010982-n,https://www.wikidata.org/entity/Q56466,"a Nilotic language, spoken in South Sudan","Nilotic dialect cluster spoken by the Dinka people, the major ethnic group of South Sudan",Exact,TRUE,
"Luo, Luo language",https://en-word.net/id/oewn-07011052-n,https://www.wikidata.org/entity/Q3915366,"a Nilotic language spoken in the Adamawa Region, Mayo-Banyo division, Bankim subdivision, a section of Atta",Nilotic language,Multiple,TRUE,
"Luo, Luo language",https://en-word.net/id/oewn-07011052-n,https://www.wikidata.org/entity/Q5414796,"a Nilotic language spoken in the Adamawa Region, Mayo-Banyo division, Bankim subdivision, a section of Atta",Nilotic language spoken in Kenya and Tanzania,Multiple,FALSE,
"Luo, Luo language",https://en-word.net/id/oewn-07011052-n,https://www.wikidata.org/entity/Q1437354,"a Nilotic language spoken in the Adamawa Region, Mayo-Banyo division, Bankim subdivision, a section of Atta",Western Nilotic language family spoken in East Africa,Multiple,FALSE,
"Luo, Luo language",https://en-word.net/id/oewn-07011052-n,https://www.wikidata.org/entity/Q34926,"a Nilotic language spoken in the Adamawa Region, Mayo-Banyo division, Bankim subdivision, a section of Atta",Southern Luo dialect,Multiple,FALSE,
"Masai, Masai language",https://en-word.net/id/oewn-07011120-n,https://www.wikidata.org/entity/Q35787,"a Nilotic language spoken in the Rift Valley Province, Kajiado and Narok districts",Eastern Nilotic language,Exact,TRUE,
"Saharan, Saharan language",https://en-word.net/id/oewn-07011190-n,https://www.wikidata.org/entity/Q1757661,a Nilo-Saharan language spoken in parts of Chad,Nilo-Saharan language family of north-central Africa,Exact,TRUE,
"Songhai, Songhai language",https://en-word.net/id/oewn-07011291-n,https://www.wikidata.org/entity/Q505198,a Nilo-Saharan language spoken by the Songhai in Mali and Niger,language family,Exact,TRUE,
standard language,https://en-word.net/id/oewn-92465795-n,,A particular variety of a language that is regarded as the most correct way of writing or speaking the language.,,None,FALSE,
